jugador;imagen
Joel Embiid;https://cdn.nba.com/headshots/nba/latest/1040x760/203954.png
Giannis Antetokounmpo;https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
Kevin Durant;https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png
Lebron James;https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png
Stephen Curry;https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png
Klay Thompson;https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png
Donovan Mitchell;https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png
Rudy Gobert;https://cdn.nba.com/headshots/nba/latest/1040x760/203497.png
Domantas Saboni;https://cdn.nba.com/headshots/nba/latest/1040x760/1627734.png
Paul George;https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png
Dejount Murray;https://cdn.nba.com/headshots/nba/latest/1040x760/1627749.png
Chris Paul;https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png
Jaren Jackson;https://cdn.nba.com/headshots/nba/latest/1040x760/1628991.png
Myles Turner;https://cdn.nba.com/headshots/nba/latest/1040x760/1626167.png
Trae Young;https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
